"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20150818","1.35926096001447","1.19307749285156","1.38641273827564","1.43285908421188","1.00183836561616"
"20150819","1.30181524696125","1.20770239811459","1.41410728238972","1.47092050867581","1.01112226591689"
"20150820","1.32307082176627","1.16637982704953","1.37364277748805","1.43551690102565","0.980599222482763"
"20150821","1.22462028707202","1.11654947028466","1.30404519676134","1.34003976711917","0.945002388136205"
"20150824","1.23873384958985","1.02174438254733","1.20348930642582","1.23170154634014","0.856338837418683"
"20150825","1.68158035720498","0.943778331566183","1.11639846367744","1.1390596077646","0.796344196163339"
"20150826","2.21908896727824","0.931784607363207","1.08703255249908","1.08145736478464","0.808159354421048"
"20150827","2.12709163901007","0.981537455679332","1.12885303839553","1.12120045202912","0.871512572247361"
"20150828","2.12777000841874","1.02888868800001","1.18753471159922","1.1913679602901","0.898653948246509"
"20150831","2.16645793761784","1.020496767086","1.16146187386218","1.14258371836869","0.919659894456029"
"20150901","2.20322208075031","1.00796758205153","1.11704388978975","1.08114552190768","0.927928628843693"
"20150902","2.11785537859971","1.00591228717405","1.11531993124356","1.06142846925201","0.933466400504587"
"20150907","2.06966332004425","0.980528063310556","1.10519208183951","1.08345144263092","0.887845094002699"
"20150908","1.66922707633221","1.00918616765444","1.14195841234946","1.14503898035962","0.90704683243272"
"20150909","1.58728700939976","1.03230714481475","1.17464523951838","1.18541319181198","0.919973098103304"
"20150910","1.45349168910504","1.01792090827806","1.1507281640737","1.16676041025934","0.918842228239253"
"20150911","1.42158049635768","1.01866591248453","1.15512582145697","1.17899781137797","0.913395738300213"
"20150914","1.47314005023412","0.991470887540175","1.07186357346257","1.090714234626","0.927026836992646"
"20150915","1.55253362277095","0.956575915467089","1.01621055089333","1.0285419199794","0.904984006976353"
"20150916","1.43815010401664","1.00339642977305","1.08562886468016","1.10217574777919","0.93276631047102"
"20150917","1.42852421604848","0.982323649180527","1.06803725821555","1.10621082295049","0.913159753830587"
"20150918","1.39823763106445","0.986097562605977","1.0771326537906","1.13482083339294","0.914893232837455"
"20150921","1.3848720143049","1.00475774551318","1.11786679180074","1.18961477391391","0.921324766553445"
"20150922","1.29301035991846","1.01401381401092","1.13017319856671","1.18941908535626","0.930837869682652"
"20150923","1.35432451800984","0.991817877108843","1.11723064653819","1.18900253193529","0.906387557061477"
"20150924","1.30913467893993","1.0003481991461","1.12991235784221","1.20536941937145","0.910357479858942"
"20150925","1.21445170357692","0.984324513073463","1.09225962477036","1.15637747292832","0.908408569331671"
"20150928","1.11065074759788","0.987001148780253","1.11534972765591","1.2143316119988","0.902807433011531"
"20150929","1.08179743541575","0.967068872384169","1.09794194714507","1.2007764601542","0.885026053151424"
"20150930","1.06639671043019","0.97173039282937","1.10388445895658","1.19168209192213","0.892895835656288"
"20151008","1.10292429397399","1.00056159407027","1.14597229845454","1.25327134621712","0.911711852644507"
"20151009","1.04609781043228","1.01322851177731","1.16149281002801","1.26834565923298","0.923340702994074"
"20151012","1.04613955624204","1.04649532896209","1.2094707326775","1.32563663152474","0.950024380623978"
"20151013","1.11136390518135","1.04826758271998","1.21796775767669","1.3400884031642","0.944831598952881"
"20151014","1.10300082795856","1.03846723620787","1.20487785180567","1.31889682006094","0.93774212123078"
"20151015","1.03196337500957","1.0625415195412","1.24206182055428","1.37584676784871","0.956045562643226"
"20151016","1.01804114745316","1.07950062277322","1.25543324553432","1.40130745132819","0.966810398627363"
"20151019","1.05544887181949","1.07802006816287","1.25433533729132","1.39247800649434","0.964603827341913"
"20151020","1.07805770662436","1.09031637771029","1.28232638013156","1.43685982805728","0.972345923609597"
"20151021","1.13970931001134","1.05700391489286","1.20681315321104","1.34163388501867","0.973710656080095"
"20151022","1.10621177649293","1.07230274577261","1.24913073444574","1.40651894660048","0.970145343467241"
"20151023","1.06603143459475","1.08621129471577","1.27387087472335","1.45243423405381","0.975210314085677"
